title_kaggle,imdb_id,poster_path,wiki_link,original_title,is_adult,runtime,genres,imdb_rating,imdb_votes,story_kaggle,summary_kaggle,tagline_kaggle,actors,wins_nominations,release_date,year_of_release_int,clean_original_title,clean_title_kaggle,lifetime_collection_matched
Ghayal: Once Again,tt4683366,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Ghayal_Once_Again_%282016%29_-_Poster.jpg/220px-Ghayal_Once_Again_%282016%29_-_Poster.jpg,https://en.wikipedia.org/wiki/Ghayal_Once_Again,Ghayal Once Again,0,127,Action|Drama,6.4,4707.0,Ajay Mehra (from previous Ghayal-1990)  after finishing off his life sentence  starts a newspaper called Satyakam. Still dealing with the haunting trauma of losing his loved ones  Ajay manages to make a credible name for himself in investigative journalism. Working with a strange team of RTI activists  ex-criminals and ilk; and even stranger ways of unearthing and presenting truth  Ajay Mehra has earned quite a fan following among the youths  who finds his fearless and unforgiving approach in dealing with all kinds of sociopaths very inspiring. Among his die hard fans are these four teenagers who happened to have received bravery medals from him once. These four friends once out on photography expedition  accidentally record a murder on a camera. The footage turns out to be explosive as it clearly shows two of the city's most powerful people involved in the murder. Well what happens after this is a series of twists and turns where the four kids get entangled and have to fight it out ...,When a video of his mentor's murder surfaces  an investigative journalist takes action to find those responsible.,,Sunny Deol|Soha Ali Khan|Om Puri|Aanchal Munjal|Narendra Jha|Manoj Joshi|Ramesh Deo|Tisca Chopra|Harsh Chhaya|Nadira Babbar|Rishabh Arora|Ruhanika Dhawan|Zakir Hussain|Sebastien Vandenberghe|,,5 February 2016 (India),2016,ghayal once again,ghayal once again,35.7 Cr
Mummy Punjabi,tt2066925,https://upload.wikimedia.org/wikipedia/en/4/45/Mummy_punjabi_film_poster.jpg,https://en.wikipedia.org/wiki/Mummy_Punjabi,Mummy Punjabi: Superman Ki Bhi Maa!!,0,121,Comedy|Drama,5.5,31.0,Chandigarh-based Baby Arora lives a wealthy lifestyle with her husband Rajinder; two sons: Dr. Arjun and restaurant-owner Karan; and a daughter  Simran. She treats her sons like daughters and Simran like a son  spends a lot of time online chatting with strange males  and wants Karan and Arjun to wed a homely girl  and an N.R.I. doctor respectively. She arranges for Karan to wed a simple girl  Preeti  and then arranges Arjun's marriage with U.S.-based Dr. Jeena Puri. While Arjun waits for his Visa - Baby's undertakes to look for a groom for her daughter - not realizing the surprises and shocks that await her when Preeti starts showing her true colors; Karan is not exactly running a restaurant  and Jeena refuses to communicate with Arjun.,An eccentric woman's life undergoes many changes as she prepares for the marriage of her children.,,Kiron Kher|Kanwaljit Singh|Jackie Shroff|Anju Mahendru|Divya Dutta|Viraf Patel|Sachin|Simran Vaid|Urwashi Gandhi|Michael Joseph|Freddy Daruwala|Kashif Khan|Gurdas Maan|Satish Kaushik|,,31 August 2011 (India),2011,mummy punjabi superman ki bhi maa,mummy punjabi,0.20 Cr
Chakravyuh (2012 film),tt2292625,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Chakravyuh.jpg/220px-Chakravyuh.jpg,https://en.wikipedia.org/wiki/Chakravyuh_(2012_film),Chakravyuh,0,152,Action|Drama|Thriller,6.8,2876.0,On the request of his friend Kabir  SP Adil Sends him to the Naxal group as an informer. When Kabir finds the truth he becomes one of their gang leader.,On the request of his friend Kabir  SP Adil Sends him to the Naxal group as an informer. When Kabir finds the truth he becomes one of their gang leader.,,Arjun Rampal|Abhay Deol|Manoj Bajpayee|Esha Gupta|Om Puri|Kabir Bedi|Deep Raj Rana|Harsh Mainra|,1 nomination,24 October 2012 (India),2012,chakravyuh,chakravyuh,18.42 Cr
Mirzya (film),tt4940456,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Mirzya_poster.jpg/220px-Mirzya_poster.jpg,https://en.wikipedia.org/wiki/Mirzya_(film),Mirzya,0,129,Action|Adventure|Drama,4.6,1581.0,A horse groom reconnects with his childhood love  but she is engaged to marry the local prince.,A horse groom reconnects with his childhood love  but she is engaged to marry the local prince.,Dare to love,Harshvardhan Kapoor|Saiyami Kher|Art Malik|Anuj Choudhry|Om Puri|K.K. Raina|,3 wins & 3 nominations,7 October 2016 (USA),2016,mirzya,mirzya,10.43 Cr
Dabangg 2,tt2112131,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/DABANGG_2_Poster.jpg/220px-DABANGG_2_Poster.jpg,https://en.wikipedia.org/wiki/Dabangg_2,Dabangg 2,0,120,Action|Comedy,4.9,14077.0,Chulbul Pandey is transferred and promoted to Kanpur. He is happily married with Rajjo. Kanpur witness a lot of criminal activities daily and kidnapping  rape and murders are done in broad daylight. The main antagonist/villain is Baccha Bhaiyaa  politician and a strong contender for the upcoming elections and Chulbul Pandey sabotages his political image by revealing his immoral activities to the public  media and police force. Chulbul Pandey takes Baccha Bhaiya head on & remains 'Dabang' as always,Chulbul Pandey invites a fresh trouble when he kills the brother of a notorious politician and the former swears to wreak havoc in his life.,,Salman Khan|Sonakshi Sinha|Prakash Raj|Vinod Khanna|Arbaaz Khan|Deepak Dobriyal|Nikitin Dheer|Mahie Gill|Kareena Kapoor|Sandeepa Dhar|Ram Sujan|Pradeep Chaudhry|Gireesh Sahedev|Yogendra Tiku|,9 wins & 20 nominations,21 December 2012 (India),2012,dabangg 2,dabangg 2,155.00 Cr
The Accidental Prime Minister (film),tt6986710,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/The_Accidental_Prime_Minister_film.jpg/220px-The_Accidental_Prime_Minister_film.jpg,https://en.wikipedia.org/wiki/The_Accidental_Prime_Minister_(film),The Accidental Prime Minister,0,112,Biography|Drama,6.1,5549.0,Based on the memoir by Indian policy analyst Sanjaya Baru  The Accidental Prime Minister explores Manmohan Singh's tenure as the Prime Minister of India  and the interference of Congress Party in contradicting his decisions during his first tenure. He details how Singh fell a victim to Congress Party's dynastic approach. It highlights how Manmohan Singh was constantly ignored by Congress to maintain turf for Rahul Gandhi  the son of Sonia Gandhi and Rajiv Gandhi.,Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country.,,Anupam Kher|Akshaye Khanna|Aahana Kumra|Atul Sharma|Manoj Anand|Arjun Mathur|Suzanne Bernert|Abdul Quadir Amin|Bharat Mistri|Divya Seth|Anil Rastogi|Ramesh Bhatkar|Parrgash Kaur|Jess Kaur|,,11 January 2019 (USA),2019,the accidental prime minister,the accidental prime minister,22.65 Cr
Desi Kattey,tt3877652,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/DesiKattey.jpg/220px-DesiKattey.jpg,https://en.wikipedia.org/wiki/Desi_Kattey,Desi Kattey,0,139,Action,4.2,111.0,A sharpshooting thug becomes a competitive shooter while his childhood friend remains in the life of crime.,A sharpshooting thug becomes a competitive shooter while his childhood friend remains in the life of crime.,,Sasha Aagha|Tia Bajpai|Rajesh Bakshi|Jay Bhanushali|Claudia Ciesla|Nishikant Dixit|Steven a Dsouza|Akhil Kapur|Ashutosh Rana|Murli Sharma|Sunil Shetty|,1 nomination,12 September 2014 (India),2014,desi kattey,desi kattey,2.98 Cr
Take It Easy (2015 film),tt4384270,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Take_It_Easy.jpg/220px-Take_It_Easy.jpg,https://en.wikipedia.org/wiki/Take_It_Easy_(2015_film),Take It Easy,0,\N,Drama,7.8,12.0,The protagonists are both almost ten-year-old children. The father of one of them is a player who wants hist son to become one too  but his son is more interested in Studying. The other boy's story is contrary. The Parents are imposing the dreams.,The protagonists are both almost ten-year-old children. The father of one of them is a player who wants hist son to become one too  but his son is more interested in Studying. The other ...,,Sulabha Arya|Anang Desai|Jyoti Gauba|Yash Ghanekar|Vikram Gokhale|Smera Jadhav|Supriya Karnik|Vijay Kashyap|Prasad Reddy|Joy Sengupta|Dipannita Sharma|Manisha Thakur|,,,2015,take it easy,take it easy,0.36 Cr
Bombairiya,tt4971258,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Bombairiya_poster.jpg/220px-Bombairiya_poster.jpg,https://en.wikipedia.org/wiki/Bombairiya,Bombairiya,0,104,Comedy|Crime|Drama,4.3,295.0,It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen.,It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen.,They didn't mean to change the world.,Radhika Apte|Akshay Oberoi|Siddhanth Kapoor|Ravi Kishan|Adil Hussain|Shilpa Shukla|Ajinkya Deo|Amit Sial|,,18 January 2019 (India),2019,bombairiya,bombairiya,0.14 Cr
Manjhi – The Mountain Man,tt3449292,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Manjhi_The_Mountain_Man_-_Poster.jpg/220px-Manjhi_The_Mountain_Man_-_Poster.jpg,https://en.wikipedia.org/wiki/Manjhi_-_The_Mountain_Man,Manjhi: The Mountain Man,0,120,Adventure|Biography|Drama,8.0,16622.0,Dashrath Manjhi was a poor man from the lowest of the low castes  living in a remote village cut off from the world by a rocky mountain range. Life for him was a daily struggle for survival. He loved his wife  Phaguniya  beyond belief. One day  while climbing the mountain to bring him food  his wife slipped  fell and died. Overwhelmed by grief  Dashrath decided to carve out a path through the mountain  so that no one else would suffer his fate. For 22 years  all by himself  with just a hammer and a chisel  he hammered away at the rocks  till the path was carved out from the mountain.,Using only a hammer and a chisel  a man spends twenty-two years carving a road through a treacherous mountain.,The Man Who Broke A Mountain For Love,Nawazuddin Siddiqui|Radhika Apte|,2 nominations,21 August 2015 (India),2015,manjhi the mountain man,manjhi the mountain man,12.53 Cr
Sanam Re,tt4262516,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Sanam_Re_movie_poster.jpg/220px-Sanam_Re_movie_poster.jpg,https://en.wikipedia.org/wiki/Sanam_Re,Sanam Re,0,120,Drama|Romance,3.1,2622.0,A man focused on his career finds solace when he reunites with his childhood sweetheart.,A man focused on his career finds solace when he reunites with his childhood sweetheart.,Never together... never apart.,Rishi Kapoor|Pulkit Samrat|Yami Gautam|Urvashi Rautela|Neel Tyagi|Delissa Mehra|Navya|Devansh Sharma|Anita Khosla|Prachee Shah Paandya|Ashish Kaul|Dayal|Shashwita Sharma|S.K. Batra|,1 nomination,12 February 2016 (India),2016,sanam re,sanam re,27.74 Cr
Luckhnowi Ishq,tt4594848,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Luckhnowi_Ishq_-_Poster.jpg/220px-Luckhnowi_Ishq_-_Poster.jpg,https://en.wikipedia.org/wiki/Luckhnowi_Ishq,Luckhnowi Ishq,0,127,Drama,6.9,19.0,Prem (Adhyayan Suman) a medical student from Delhi happens to visit Lucknow for his friends wedding and falls in love with Sunaina (Karishma Kotak) from Lucknow. It is love at first sight and Prem wants to marry Sunaina  he even fights her brother Krishna who shares a close bond with his sister Sunaina. Prem swears to marry Sunaina in the next 10 days and does marry her. However  on the first night of the marriage he leaves Sunaina and comes back to Delhi. Prem is depressed and is not able to concentrate on work when Prof. KK (Sharad Saxena) scolds him and later consoles him and asks him to focus on his studies since he is a very bright student and the prof. wants him to top the MBBS exams. At Sunaina's home every one is very upset and Sunaina decides that she would find Prem and bring him to justice and stop the entire families suffering. She swears that she would only come back once she finds Prem. Its this Luckhnowi feel to the movie and love story between Prem and Sunaina and Prof...,Prem (Adhyayan Suman) a medical student from Delhi happens to visit Lucknow for his friends wedding and falls in love with Sunaina (Karishma Kotak) from Lucknow. It is love at first sight ...,,Adhyayan Suman|Karishma Kotak|,,3 April 2015 (India),2015,luckhnowi ishq,luckhnowi ishq,
Baat Bann Gayi,tt2222716,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Baat_Bann_Gayi.Jpeg/220px-Baat_Bann_Gayi.Jpeg,https://en.wikipedia.org/wiki/Baat_Ban_Gayi,Baat Bann Gayi,0,108,Comedy|Romance,5.4,61.0,A successful author (Ali Fazal) pretends to be a geek in order to impress his girlfriend's (Anisa) brother (Gulshan Grover)  because he expects his brother-in-law to be intelligent. Anyway  while the hero's almost on the verge of winning over his girl's bhaiya  his rowdie lookalike shows up  adding to the drama. That's not all. Even the bhaiya has a lookalike which doubles the drama and confusion. Watch the full movie Baat Ban Gayi online  only on Eros Now.,A successful author (Ali Fazal) pretends to be a geek in order to impress his girlfriend's (Anisa) brother (Gulshan Grover)  because he expects his brother-in-law to be intelligent. Anyway ...,,Anisa Butt|Ali Fazal|Gulshan Grover|Razzak Khan|Amrita Raichand|,,11 October 2013 (India),2013,baat bann gayi,baat bann gayi,0.15 Cr
Jaane Kyun De Yaaron,tt7720254,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Jaane_Kyun_De_Yaaron_film_poster.jpg/220px-Jaane_Kyun_De_Yaaron_film_poster.jpg,https://en.wikipedia.org/wiki/Jaane_Kyun_De_Yaaron,Jaane kyun de yaaron,0,131,Drama,4.4,25.0,Raghu and Abhishek are two young rap singers  living in Mumbai  trying to further their careers by making an album. They are beset by rejection after rejection from cynical and dismissive financiers  even though their young fans love them. The tables seem to have turned when they perform at a function and meet Shera - a larger-than-life figure who offers them help should they ever meet a problem. His presence is reassuring  and he is the strongest character in the film. From here their lives take a downwards spiral. Abhishek is accused of driving while drunk and of assaulting a police officer. No-one will listen to him despite the fact that he was not driving and he was a victim of police brutality. The support of their families and their loyalty to one another is all that holds them up at this time. The upshot is that they are misused by corrupt policemen and lawyers and ultimately Abhi is found guilty but.. - Shera has seen all that has happened  has put in place a mechanism that ...,Two boys with the dreams to change their ordinary lives change the entire corruption system as they take a stand against police brutality with the little help of a benevolent guardian.,,Akshay Anand|Kabir Bedi|Hitesh Bhardwaj|Abhay Bhargav|Ravi Raj Kande|Viju Khote|Usha Nadkarni|Chetna Pande|Daya Shankar Pandey|Raghu Raja|Abhishek Sharma|Vikram Singh|Yashwant Singh|,,16 February 2018 (India),2018,jaane kyun de yaaron,jaane kyun de yaaron,0.025 Cr
Maatr,tt5543746,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Maatr_poster.jpg/220px-Maatr_poster.jpg,https://en.wikipedia.org/wiki/Maatr,Maatr,0,113,Thriller,4.5,321.0,Vidya  who's left shattered after her daughter Tia's murder  seeks vengeance by fighting the broken justice and criminal system.,Vidya  who's left shattered after her daughter Tia's murder  seeks vengeance by fighting the broken justice and criminal system.,,Raveena Tandon|Madhur Mittal|Siddharth Bhardwaj|Anurag Arora|Saheem Khan|Piyush Kaushik|Rushad Rana|Kuldeep Sharma|Alisha Khan|Divya Jagdale|Bhuvan Kaila|Sidharth Bhardwaj|Neetu Chaudhary|Deepak Mor|,,21 April 2017 (India),2017,maatr,maatr,2.31 Cr
Hum Chaar,tt9319812,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Hum_Chaar_poster.jpg/220px-Hum_Chaar_poster.jpg,https://en.wikipedia.org/wiki/Hum_Chaar,Hum chaar,0,143,Drama,5.6,183.0,The story of the film revolves around four college friends went their own direction in life  but remained inseparable from each other.,The story of the film revolves around four college friends went their own direction in life  but remained inseparable from each other.,,Prit Kamani|Simran Sharma|Anshuman Malhotra|Tushar Pandey|Vibha Anand|Jatin Goswami|Jagat Rawat|Sonal Jha|Shailesh Datar|Jayshankar Tripathi|Alok Pandey|Sushant Mohindru|Shahnawaz Pradhan|Amit Kumar Jha|,,15 February 2019 (India),2019,hum chaar,hum chaar,0.19 Cr
Padmaavat,tt5935704,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Padmaavat_poster.jpg/220px-Padmaavat_poster.jpg,https://en.wikipedia.org/wiki/Padmaavat,Padmaavat,0,164,Drama|History|Romance,7.0,24550.0,This fictional story is set in 13th century medieval India. a Princess of Sinhala(modern-day Sri Lanka) called Padmavati falls in love with already married Maharawal Ratan Singh  King of Chittor. Upon their marriage  Padmavati is crowned queen  taking the place of wife of Ratan Singh and they reside together in joy and splendor. Their perfect life takes an unfortunate turn when a banished royal priest Chetan convinces Sultan of Delhi Allauddin Khilji to attack Chittor and capture Padmavati for her beauty and luck she could bring him. Sultan Allaudin Khilji  convinced by the priest and driven by desire of ultimate power  prepares to attack Chittorgarh.,Set in medieval Rajasthan  Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.,,Deepika Padukone|Ranveer Singh|Shahid Kapoor|Aditi Rao Hydari|Jim Sarbh|Anupriya Goenka|Raza Murad|Ujjwal Chopra|Komal Chhabria|Lankesh Bhardwaj|Bhawani Muzamil|Hriiday Malhotra|Deepak Shreemali|Manish Wadhwa|,30 wins & 32 nominations,25 January 2018 (India),2018,padmaavat,padmaavat,302.15 Cr
Badlapur (film),tt3678782,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Badlapur_Poster.jpg/220px-Badlapur_Poster.jpg,https://en.wikipedia.org/wiki/Badlapur_(film),Badlapur,0,134,Action|Crime|Drama,7.4,20021.0,A young man (Raghu) wants revenge from the people who killed his wife and son in a bank robbery.There are two suspects in this case  one escapes with the money and the other gets caught by the cops and is sentenced 20 years in jail. Fifteen years later he is suffering from cancer and he has only a year to live  so he requests Raghu to forgive his rest of the sentenced and let him get out from the jail. Raghu accepts his apology only on one condition that he names his partner. So after 15 years will Raghu be able to find the other suspect who destroyed his life? Will he punish him and take his 15 years old revenge?,An innocent man turns brutal when his family gets killed in a bank robbery and one of the perpetrators escapes. 15 years later  he begins his deadly game of vengeance.,Don't Miss the beginning.,Varun Dhawan|Nawazuddin Siddiqui|Yami Gautam|Huma Qureshi|Neel Tyagi|Vinay Pathak|Radhika Apte|Pratima Kazmi|Divya Dutta|Kumud Mishra|Ashwini Kalsekar|Murli Sharma|Gopal K. Singh|Zakir Hussain|,4 wins & 12 nominations,20 February 2015 (USA),2015,badlapur,badlapur,50.07 Cr
Baby (2015 Hindi film),tt3848892,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/BABY_poster_2015.jpg/220px-BABY_poster_2015.jpg,https://en.wikipedia.org/wiki/Baby_(2015_Hindi_film),Baby,0,159,Action|Thriller,8.0,49426.0,The country is perpetually under threat from terrorist powers and the common man walks unaware of the threats and the attacks that our Government controls and prevents. While the common Indian fights for everyday issues  there are deeper and bigger threats to him and his family that he will never know exist because it is the men and women in uniform that safeguard them. The men and women who put country before self  the men and women who define our history because they give a damn! Ajay (played by Akshay Kumar) is one such officer who is part of an elite team chosen from amongst the best in the Forces to form a covert Counter Intelligence Unit. In the course of foiling one terrorist attack bid  Ajay discovers a major threat to our nation - a plan to cause damage and strike fear at the heart of our very existence. The plot is masterminded by a maniacal leader whose organization has its tentacles spread across the world. As days progress  the unit goes through escalating challenges with...,An elite counter-intelligence unit learns of a plot  masterminded by a maniacal madman. With the clock ticking  it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.,History Is Made By Those Who Give A Damn!,Akshay Kumar|Danny Denzongpa|Rana Daggubati|Taapsee Pannu|Anupam Kher|Kay Kay Menon|Sushant Singh|Madhurima Tuli|Mikaal Zulfiqar|Hasan Noman|Rasheed Naz|Kerem Sarikaya|Zachary Coffin|,1 win,23 January 2015 (India),2015,baby,baby,95.56 Cr
The Silent Heroes,tt4309284,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Poster_Of_Movie_The_Silent_Heroes.jpg/220px-Poster_Of_Movie_The_Silent_Heroes.jpg,https://en.wikipedia.org/wiki/The_Silent_Heroes,The Silent Heroes,0,115,Adventure|Drama|Family,6.6,57.0,The film  Silent Heroes  is based on the story of 13 real deaf children who through mountaineering want to prove that they are different but not disabled. The Leader who never considered the deaf children as capable and equal and discouraged them all through the course gets badly injured in an accident. This might be an end to Children dreams of scaling Himalayan peaks and proving their worth in front of the outside world. Now it is for these deaf children to show their skills  presence of mind and courage to save their Leader and prove their worth.,The story of 13 Real deaf children and their heroism  passion and humanity.,,Mann Bagga|Gurfareen Bano|Maanuv Bharadwaj|Tarun Bhargawa|Aashish Chauhan|Khwaish Gupta|Simran Kaur|Priyanka Panchal|Priyanka Panchal|Nirmal Pant|Jaideep Rawat|,,11 December 2015 (India),2015,the silent heroes,the silent heroes,0.11 Cr
Coffee with D,tt6334874,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Official_Poster_of_Coffee_With_D.jpg/220px-Official_Poster_of_Coffee_With_D.jpg,https://en.wikipedia.org/wiki/Coffee_with_D,Coffee with D,0,123,Comedy,4.5,563.0,"A celebrated journalist interviews one of the world's most dreaded terrorists  ""D"".","A celebrated journalist interviews one of the world's most dreaded terrorists  ""D"".",,Sunil Grover|Zakir Hussain|Dipannita Sharma|Rajesh Sharma|,,20 January 2017 (India),2017,coffee with d,coffee with d,0.63 Cr
